Solvent,δD,δP,δH
ethyl 2-hydroxypropanoate,15.99,7.626,12.5255
ethyl 3-ethoxypropanoate,16.236,3.3005,8.815
ethyl acetate,15.826,5.3095,7.216
ethyl formate,15.539,7.216,7.626
ethylbenzene,17.835,0.5945,1.394
formamide,17.2405,26.2605,19.0445
formic acid,14.3295,11.931,16.646
furan,17.835,1.845,5.33
heptane,15.334,0,0
hexane,14.924,0,0
hexyl acetate,16.031,2.911,6.15
isopropyl acetate,14.924,4.51,8.2205
methanol,15.211,12.3205,22.345
methyl (Z)-9-octadecenoate,16.195,3.895,4.51
methyl 2-hydroxybenzoate,16.031,8.0155,12.3205
methyl acetate,15.539,7.216,7.626
methylcyclohexane,16.031,0,0
morpholine,18.8395,4.92,9.225
"N,N-dimethylacetamide",16.8305,11.521,10.2295
"N,N-dimethylformamide",17.4455,13.735,11.316
N-methylpyrrolidone,18.04,12.3205,7.216
naphthalene,19.2495,2.009,5.904
nitrobenzene,20.049,8.61,4.1
nitroethane,16.031,15.539,4.51
nitromethane,15.826,18.8395,5.1045
nonane,15.744,0,0
octadecanoic acid,16.441,3.3005,5.5145
octane,15.539,0,0
oxepan-2-one,19.68,14.965,7.38
oxolan-2-one,19.0445,16.646,7.421
pentane,14.5345,0,0
pentanol,16.031,4.51,13.94
pentyl acetate,15.826,3.9155,6.806
pentyl propanoate,15.539,2.911,6.519
phenol,18.04,5.904,14.924
propanol,15.8875,6.806,17.4455
propyl acetate,15.334,4.305,7.626
propyl propanoate,15.539,3.7105,7.421
pyridine,19.0445,8.815,5.904
quinoline,19.434,7.011,7.626
styrene,18.6345,1.0045,4.1
sulfolane,18.04,18.04,9.84
tert-butyl acetate,14.3295,3.5055,5.904
tetrachloroethene,18.3475,5.7195,0
tetrachloromethane,17.835,0,0.5945
tetrahydrofuran,16.8305,5.7195,8.0155
tetrahydrofurfuryl alcohol,17.835,8.2,12.915
tetrahydronaphthalene,19.639,2.009,2.911
thiolane-1-oxide,18.245,11.029,9.1225
toluene,18.04,1.394,2.009
trichloroethene,18.04,3.116,5.3095
trichloromethane,17.835,3.116,5.7195
triethylene glycol,16.031,12.5255,18.6345
trioctyl phosphate,16.4,2.05,5.125
water,15.6415,16.031,42.394
